Q,A,QE,AE
"Right, but part of the agreement is that I'm paying so that I can take myself and my belongings with me.","Right. Yes, ma'am.",ang,fru
"Right. Yes, ma'am.",And that you're going to transport them safely from one place to another.,fru,ang
And that you're going to transport them safely from one place to another.,"Right, and also if you'll read the fine print of your agreement you'll see that while we do bear some responsibility for lost luggage, it is a fifty dollar voucher.",ang,fru
"Right, and also if you'll read the fine print of your agreement you'll see that while we do bear some responsibility for lost luggage, it is a fifty dollar voucher.","That's all you can offer me? I mean, my the stuff in there is worth way more than fifty dollar.",fru,ang
"That's all you can offer me? I mean, my the stuff in there is worth way more than fifty dollar.","Well, I understand that.  Did you buy flight insurance?",ang,neu
No.,"Well, my hands are really tied then.",xxx,neu
"Well, my hands are really tied then.",Why do I need flight insurance?  Why don't you guys just guarantee that you're going to get the stuff that I leave with to my destination?,neu,fru
Why do I need flight insurance?  Why don't you guys just guarantee that you're going to get the stuff that I leave with to my destination?,"Well, it's like any kind of insurance.  You don't-when you get it, then you get more. You know, Like if you--",fru,neu
"Well, it's like any kind of insurance.  You don't-when you get it, then you get more. You know, Like if you--","Right, but if I'm riding a bus, I don't need to buy luggage insurance that the backpack I take on is going to get to my destination with me.",neu,fru
"Right, but if I'm riding a bus, I don't need to buy luggage insurance that the backpack I take on is going to get to my destination with me.","Well, of course not because you've got your backpack with you the whole time.  Now, if you--you said this was a travel bag.  Why weren't you carrying it on if it was so important?",fru,neu
"Well, of course not because you've got your backpack with you the whole time.  Now, if you--you said this was a travel bag.  Why weren't you carrying it on if it was so important?",Because they made me check it.  It's too heavy.,neu,fru
Because they made me check it.  It's too heavy.,"Uh, so it was really heavy.",fru,neu
"So I would have carried it on, but they made me check it and then they lost it.","Well, you know what, it could still turn up, but until then I can offer you this fifty dollar voucher.",xxx,fru
"Well, you know what, it could still turn up, but until then I can offer you this fifty dollar voucher.",There's nothing else you can do?,fru,fru
There's nothing else you can do?,"I'm sorry, ma'am, there's nothing else I can do.  My hands are really tied here.  I really wish there was something else I could do for you.",fru,neu
"I'm sorry, ma'am, there's nothing else I can do.  My hands are really tied here.  I really wish there was something else I could do for you.",I don't believe that for a second.,neu,ang
I don't believe that for a second.,Well I don't know why you wouldn't believe that.,ang,neu
"No, I don't think you are. I mean If you were doing everything you could, you'd either give me more money or you'd figure out where my bag is.","Well, I have no way to give you more money.  I'm giving you as much money as I can, and figuring- as far as figuring out where you bag is-",xxx,neu
"Well, I have no way to give you more money.  I'm giving you as much money as I can, and figuring- as far as figuring out where you bag is-",What do you mean as you can?  Who makes up these rules?,neu,ang
What do you mean as you can?  Who makes up these rules?,makes up?,ang,neu
makes up?,You're an autono- autonomous human being.  You could- You could go into the com-,neu,ang
You're an autono- autonomous human being.  You could- You could go into the com-,"The airline makes these rules, mom ma'am.",ang,neu
I've gone into the computer.  I told you exactly what I can see in the computer that your luggage did arrive here.,"So I'm just supposed to oh, well, oops, my luggage is gone and be fine with that and take your stinking fifty dollar voucher?",xxx,fru
"So I'm just supposed to oh, well, oops, my luggage is gone and be fine with that and take your stinking fifty dollar voucher?","Well, you can take my stinking fifty dollar voucher and go home and wait and see if your luggage turns up. And if it does, then we'll deliver it to you.",fru,fru
"Well, you can take my stinking fifty dollar voucher and go home and wait and see if your luggage turns up. And if it does, then we'll deliver it to you.",And you have no guarantee.,fru,fru
And you have no guarantee.,"I have no guarantee, absolutely not.",fru,fru
"I have no guarantee, absolutely not.",This is ridiculous.,fru,fru
This is ridiculous.,How can I guarantee finding your luggage when it's lost?,fru,fru
How can I guarantee finding your luggage when it's lost?,"Uh- Because you guys lost it, so it should be your responsibility to find it, too.",fru,fru
"Uh- Because you guys lost it, so it should be your responsibility to find it, too.","Right, well, when you're at home and you lose something, do you guarantee that you're going to find it later on?",fru,fru
"Right, well, when you're at home and you lose something, do you guarantee that you're going to find it later on?","Oh, come on.  Would you cut it out?  This is ridiculous.",fru,fru
"Oh, come on.  Would you cut it out?  This is ridiculous.","Well, it sounds to me like you're being ridiculous",fru,fru
"Well, it sounds to me like you're being ridiculous","No, I don't think I am.  I like have a whole bunch of stuff that means a lot to me, and I brought it you know from Africa.  It's not like I can just go back and get it whenever I want.",fru,ang
"No, I don't think I am.  I like have a whole bunch of stuff that means a lot to me, and I brought it you know from Africa.  It's not like I can just go back and get it whenever I want.",Right.,ang,neu
Right.,It's not like I can go to Kmart and buy another.,neu,ang
It's not like I can go to Kmart and buy another.,"I understand that, ma'am, but things get lost.  There's nothing I can do about that.  Things happen.  Accidents happen.",ang,fru
okay fine.,So you'd like the fifty dollar voucher?,xxx,neu
So you'd like the fifty dollar voucher?,"Yeah, I'll take your fifty dollar voucher.",neu,fru
"Yeah, I'll take your fifty dollar voucher.","Okay, just fill out these three forms, and um- you'll- we'll have that sent to you within the next three weeks and, of course, we'll definitely keep an eye out for your bag.",fru,neu
"Okay, just fill out these three forms, and um- you'll- we'll have that sent to you within the next three weeks and, of course, we'll definitely keep an eye out for your bag.",Thanks.,neu,fru
Thanks.,You have a wonderful day.,fru,neu
What's wrong Melissa?,A good friend of mine passed away the other day.,xxx,sad
A good friend of mine passed away the other day.,"Oh no, I'm so sorry. What happened?",sad,sad
"Oh no, I'm so sorry. What happened?","Oh they had some pretty progressive cancer,",sad,sad
"metastasized and it was old and they knew that it wasn't looking good, but-",That's the worst.  I'm so sorry.  Did you know him well?,sad,sad
That's the worst.  I'm so sorry.  Did you know him well?,Yeah.  We were.  Pretty close.,sad,sad
[BREATHING],"I am so sorry,  It's-",sad,sad
It's the worst when they go like that. [GARBAGE] Was he young?,Kind of.,sad,sad
"It's hard to watch when it's painful for them, you know.","Absolutely, absolutely.",sad,sad
It's the think,"I just, I don't know.",sad,sad
"I just, I don't know.",There's no reason for it.,sad,sad
There's no reason for it.,I know.,sad,sad
And he could of...  He was pretty awesome,Yeah?  What'd he do?  What did they do?  How'd you know him?,sad,sad
Yeah?  What'd he do?  What did they do?  How'd you know him?,"Uh,  We grew up together.",sad,sad
"Uh,  We grew up together.",yeah.,sad,sad
"Is he an actor too, or-?","Yeah, he kind of did a lot of things, but we acted together, sometimes.",neu,sad
"I feel really bad for his family, you know.","Yes of course, of course.",sad,sad
"Yes of course, of course.","It must be really, really hard to lose a child.",sad,sad
"It must be really, really hard to lose a child.",Was he very close to his family?,sad,neu
Was he very close to his family?,"Yeah.  And they were really supportive, like through the whole process, but-",neu,sad
"Yeah.  And they were really supportive, like through the whole process, but-",yeah.,sad,neu
yeah.,[BREATHING],neu,sad
I can't imagine what his- what his parents are going through.,Of course not.  You have no idea what it's like to lose a kid.,sad,sad
Of course not.  You have no idea what it's like to lose a kid.,"Yeah, I'm just going to miss him.",sad,sad
"Of course. If there's anything I can do, you just let me know.  Okay?",Thank you.,xxx,sad
Is there a funeral planned? or-,"Yeah, they're going to do some sort of memorial service or something.",neu,sad
"Yeah, they're going to do some sort of memorial service or something.","Cool, Well, If you want me to go with you, I will.",sad,neu
"Cool, Well, If you want me to go with you, I will.",Thanks.,neu,sad
Thanks.,No problem.,sad,neu
No problem.,"It's really bizarre, you know, when you know somebody really well, and then...",neu,sad
"really hard to imagine that like you're going to continue to live, and that person's just going to have stopped.","Right, it just doesn't make any sense, it's not real.  It doesn't feel real.",sad,sad
yeah.,[BREATHING],neu,sad
[BREATHING],"Do you know what, it's going to pass,eventually, I mean it'll never pass, it'll always be there, and you'll always remember and everything like that, but you know.  It'll get easier I guess.",sad,neu
"Do you know what, it's going to pass,eventually, I mean it'll never pass, it'll always be there, and you'll always remember and everything like that, but you know.  It'll get easier I guess.",yeah.,neu,sad
yeah.,That's the best way to put it.,sad,neu
That's the best way to put it.,It's hard to say good-bye.,neu,sad
It's hard to say good-bye.,Absolutely.,sad,neu
Absolutely.,[BREATHING],neu,sad
[BREATHING],"Do you know what, if it was me that died, I'd really want you to be crying and being really upset too any way. So, I think you should definitely do this, because it's trying what it's supposed to be.",sad,neu
So guess what.,what,hap,hap
what,I got into college.,hap,hap
I got into college.,"Shut up.  What'd you get, where'd you get accepted to? please",hap,hap
"Shut up.  What'd you get, where'd you get accepted to? please",U.S.C..,hap,hap
U.S.C..,"Oh, sweet.",hap,hap
"Oh, sweet.",yeah.,hap,hap
yeah.,So you're not going to leave me.,hap,hap
So you're not going to leave me.,No.,hap,hap
No.,"oh, good good good good good good.",hap,hap
"oh, good good good good good good.",I'll stay in town.,hap,hap
I'll stay in town.,Are you going to live on campus?  Where are you going to live?,hap,hap
Are you going to live on campus?  Where are you going to live?,Uh- I don't know.,hap,hap
Uh- I don't know.,Uh! stay over here.  Like travel to school. because you are so close to me,hap,hap
Uh! stay over here.  Like travel to school. because you are so close to me,"Well, I don't want to, I don't want to live with my mom.",hap,neu
"Well, I don't want to, I don't want to live with my mom.","Okay, you're right, you're right, you're right,  right.  Maybe we should get a place together.",neu,hap
"Okay, you're right, you're right, you're right,  right.  Maybe we should get a place together.",Whoa.  What an idea.  Where would you want to live?,hap,hap
Whoa.  What an idea.  Where would you want to live?,That'll be awesome.,hap,hap
"Whoa, this is going to be so much fun.",it is going to be so much fun. Yes.,hap,hap
Uh! I'm so happy that you're not going to go away.,"Thank you. I know, I'm really, really, really excited.",hap,hap
"Thank you. I know, I'm really, really, really excited.","Oh, I bet you're going to love it too.  You always wanted to go to U.S.C..",hap,hap
"Oh, I bet you're going to love it too.  You always wanted to go to U.S.C..","I know they have a really, really great program for what I want to do.",hap,hap
"I know they have a really, really great program for what I want to do.","You're going to have so much fun.  And there's lo- tons of people, you're going to meet so many people, I'm going to meet so many people too, because we're going to be there together.",hap,hap
"You're going to have so much fun.  And there's lo- tons of people, you're going to meet so many people, I'm going to meet so many people too, because we're going to be there together.",Can we for real live together?,hap,hap
Can we for real live together?,"Sure, why not.  I don't know why not, I'm not doing anything I have no plans, I could live anywhere I want.",hap,hap
"Sure, why not.  I don't know why not, I'm not doing anything I have no plans, I could live anywhere I want.",awesome.,hap,hap
So should we get a place near campus? or-,That'll be great. That'll be great.,hap,hap
"We should try to find, like, a party spot though, like you know where there's going to be a lot of parties, where there are cool people, though.  Do you know any people that might be out there?",okay.,hap,hap
not yet.,"Yeah, me either.",xxx,hap
It's going to be ridiculous.  It's going to be so cool.,"You can't make fun of me because I'm not going to school, though, because I'm going to be working though.",hap,hap
I'll have to make money and support us.,"[LAUGHTER] Oh, I'm going to be working too, I mean.",xxx,hap
"Well, yeah, of course, but you're going to be working on your school stuff too, and partying that takes up a lot of time, right, especially at U.S.C., I hear it's a big party college.",I- I hear the same.,xxx,hap
I- I hear the same.,Woo- I I do.,hap,hap
Woo- I I do.,"I don't know how I feel about that, but-",hap,hap
"I don't know how I feel about that, but-",I know exactly how you feel about that. I think you feel really excited about it.  I know you are. I can tell. I know you.,hap,hap
I know exactly how you feel about that. I think you feel really excited about it.  I know you are. I can tell. I know you.,oh yeah.,hap,hap
oh yeah.,You're a wild and crazy woman.,hap,hap
You're a wild and crazy woman.,"[LAUGHTER] Oh, it'll be awesome, that's for sure.",hap,hap
"[LAUGHTER] Oh, it'll be awesome, that's for sure.","Uh huh, it will be awesome.",hap,hap
"Uh huh, it will be awesome.",Better than if I'd picked up and moved to Boston.,hap,hap
"living near the U.S.C. campus by myself, not going to school there. just really pathetic and sad.",[LAUGHTER] by yourself.,hap,hap
"living near campus, and not going to school.","Exactly.  Mooching off of all like the college experiences, that would've been me but you have saved me from that disaster. Thank you. Thank you very much.",hap,hap
"Exactly.  Mooching off of all like the college experiences, that would've been me but you have saved me from that disaster. Thank you. Thank you very much.",[LAUGHTER],hap,hap
[LAUGHTER],"Oh, it's going to be so much fun.",hap,hap
"Oh, it's going to be so much fun.",yeah.,hap,hap
yeah.,"Well, congratulations. and to me too, because now I get to-have-",hap,hap
"Well, congratulations. and to me too, because now I get to-have-",We should go apartment shop-er-hunting.,hap,hap
We should go apartment shop-er-hunting.,That's a good idea.,hap,hap
That's a good idea.,Let's go tomorrow.,hap,hap
Let's go tomorrow.,"Tomorrow, tomorrow, tomorrow-",hap,hap
"Tomorrow, tomorrow, tomorrow-",yeah.,hap,hap
yeah.,"Good.  We'll have to have one soon, you're going to have to go to school in a couple of months.",hap,hap
"Good.  We'll have to have one soon, you're going to have to go to school in a couple of months.",Woo-,hap,hap
Woo-,"Oh God, it's awesome... There's going to be tons of places. [garbage]",hap,hap
"Oh God, it's awesome... There's going to be tons of places. [garbage]",exciting.,hap,hap
"Hi, sir.  How can I help you?","Oh, thank God.  Do you know how long I've been on the phone for half an hour trying to talk to a freaking human being.",neu,fru
"All I want to do is put my, pay for my freaking credit card, and there's something wrong in my bill, Like I swear, it says I didn't paid last month, but I know I paid last month.",Okay.,fru,neu
Okay.,"I put- I've been typing my number in millions of times, it won't listen to me, it's not working, and I can't get a single human being, and finally-",neu,fru
"you are a real human being.  Thank you very, very much.","[LAUGHTER] All right.  I'm sorry, sir that you've been having a hard time.",xxx,neu
"[LAUGHTER] All right.  I'm sorry, sir that you've been having a hard time.","This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.",neu,ang
"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.","I kwon, it is ridiculous",ang,neu
"yeah, I understand.","Can you like talk to somebody about this, can you like can you tell them that this is ridiculous and can they change it from now on, is there a phone number you have that I can call that will like automatically be talking to somebody a human being.",neu,ang
"Can you like talk to somebody about this, can you like can you tell them that this is ridiculous and can they change it from now on, is there a phone number you have that I can call that will like automatically be talking to somebody a human being.",Uh- when's when's-,ang,neu
"If yeah, well if you just slow down we'll um, we'll definitely have your problem solved and after we have your problem solved, then I can transfer you to a manager, someone who can you know, you can voice your complaint to, who will be able to something about it.","Well, okay ,well First off, fine, fine, fine.  Let's see, first off, um- yeah my bill's wrong.",neu,fru
"Like I know I paid last month, but it hasn't been paid and you charged me a late fee.","Okay, so where?, okay, all right, so where did you uh- locate your your bill?",ang,neu
"Okay, so where?, okay, all right, so where did you uh- locate your your bill?",I got it in the mail.,neu,fru
I got it in the mail.,In the mail?,fru,neu
In the mail?,yeah,neu,fru
yeah,"So is it, is- is it at all possible that maybe this statement is just old and that the transaction hadn't been processed yet?",fru,neu
"So is it, is- is it at all possible that maybe this statement is just old and that the transaction hadn't been processed yet?","Well, when I look online, it says, it says that I was charged a late fee so I'm assuming that I paid on your web site-",neu,fru
"Well, when I look online, it says, it says that I was charged a late fee so I'm assuming that I paid on your web site-",Okay.,fru,neu
Okay.,"like I paid right through your own company before my due date but it's still and it even shows my payment there, and then it charged me the late fee afterwards.",neu,fru
"like I paid right through your own company before my due date but it's still and it even shows my payment there, and then it charged me the late fee afterwards.",Okay.,fru,neu
"Okay so, I'll just look it up and you know see what's going on, maybe we can...",Okay.,neu,fru
Okay.,if I call it up on the screen.,fru,neu
if I call it up on the screen.,"Okay, great, go ahead.",neu,neu
"Okay, great, go ahead.","So in the database, it looks as though um, there is a there is like a glitch in the transaction where it hadn't gone through before, but I do see that you paid the, what can you tell me the amount, what was the amount?",neu,neu
"So in the database, it looks as though um, there is a there is like a glitch in the transaction where it hadn't gone through before, but I do see that you paid the, what can you tell me the amount, what was the amount?",It was one ninety eight sixty three. I paid the minimum.,neu,fru
It was one ninety eight sixty three. I paid the minimum.,"Okay, I do see that on here, and it says that um, it had some trouble clearing for some reason.  And I think that was the problem on our end.  So um-",fru,neu
Wow.  I can't believe you're actually admitting to having a problem on your end.  That's a first.,"Well you know sometimes-- just with online transactions, things happens. so um-",xxx,neu
"Well you know sometimes-- just with online transactions, things happens. so um-","No, No, No, I am grateful.",neu,neu
Absolutely.,"Yeah, we- Somebody went in and- and cleared the problem and it looks like you're all paid.",xxx,neu
"Yeah, we- Somebody went in and- and cleared the problem and it looks like you're all paid.",Did they take-,neu,neu
Did they take-,"You do the direct the direct it um- it's taking right out of your bank account, correct?",neu,neu
"You do the direct the direct it um- it's taking right out of your bank account, correct?","Yes, yes, exactly.",neu,neu
"Yes, yes, exactly.",Yeah so- That --that did go through.,neu,neu
Yeah so- That --that did go through.,Are you taking the late fee off of my account then?,neu,neu
Are you taking the late fee off of my account then?,"Um- I can try to do that for you, certainly.",neu,neu
"Um- I can try to do that for you, certainly.",Because I paid it on time.,neu,fru
Because I paid it on time.,"Right, right, and since--yeah, since it was just a computer glitch, then that's that should be cleared up as well.  So I'm going to go ahead and try and put that into the computer.  And if for some reason you notice on your statement in a few days that you've been charged and an overdue fee, then you should just call back and we'll have that.",fru,neu
"Right, right, and since--yeah, since it was just a computer glitch, then that's that should be cleared up as well.  So I'm going to go ahead and try and put that into the computer.  And if for some reason you notice on your statement in a few days that you've been charged and an overdue fee, then you should just call back and we'll have that.",Right.,neu,neu
"Yeah, but if I call back, I'll have to go through this whole rigmarole again. and try to get a hole or someone.",Well I'll give you my direct line and my number so you can- you can  get directly to me.,fru,neu
Well I'll give you my direct line and my number so you can- you can  get directly to me.,Really?,neu,sur
Really?,yeah.,sur,neu
yeah.,"That would be wonderful, that would be great seriously.",neu,hap
"That would be wonderful, that would be great seriously.",No problem.,hap,neu
No problem.,"thank you, what's the number?",neu,hap
"thank you, what's the number?",ahh one eight hundred three two three,hap,neu
ahh one eight hundred three two three,three two three,neu,neu
three two three,six four nine four,neu,neu
six four nine four,"six four nine four. That would be so great, thank you so much.",neu,hap
"six four nine four. That would be so great, thank you so much.",You're welcome,hap,neu
oh.,I'm sorry that it was an inconvenience.,xxx,neu
I'm sorry that it was an inconvenience.,"It was horrible, but you've made it much better, thank you very much. Absolutely",neu,hap
Have a good day.,"You too, thank you so much, have a wonderful day.",neu,hap
"You too, thank you so much, have a wonderful day.",bye bye,hap,neu
"Yes, I'm um- just getting my I.D.  I need a new I.D.","Oh, this- this form that you have is the wrong form.  You need to go over to the other line on the other side of the D.M.V..",xxx,neu
What do you mean?  I filled out my forms and I rushed to get my I.D.,"Right, but this is the wrong form.  Somebody gave you the wrong form.",xxx,neu
The wrong form?,"Yeah.  So, I can't -- I can't do anything-",xxx,neu
What's wrong about this form?  It says new I.D. on it.,"No, but this is for um- replacements and you need a new -- whole new license as a California --",xxx,neu
"No, but this is for um- replacements and you need a new -- whole new license as a California --",What's the difference?  What's the difference between that form and this form?,neu,fru
What's the difference?  What's the difference between that form and this form?,"Sir, don't get an attitude with me.",fru,fru
"Sir, don't get an attitude with me.","I'm not getting a -- well, you wait in this line and not get an attitude.",fru,ang
"I'm not getting a -- well, you wait in this line and not get an attitude.","No, I understand and there are a lot of people here.  But what I'm telling you is that it's different for different states and since your getting a new license in the state of California -- You have to fill out a different form than you did.",ang,neu
"Well then, when I showed them my I.D. before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?",I don't know.  I don't know who told you.  It wasn't me.,fru,fru
I don't know.  I don't know who told you.  It wasn't me.,"Well, it was this girl standing right next to you.  Can we ask her why she didn't let me fill out the right form?",fru,fru
"Well, it was this girl standing right next to you.  Can we ask her why she didn't let me fill out the right form?","You- You can ask her if you want, but she's busy and she probably won't answer you.",fru,fru
This is ridiculous.  I've been here for forty five minutes. Just standing in this one line. I took fifteen minutes to fill out that form.,I know.,xxx,neu
"Sir, you- I mean",Do you know how long it's gonna take me to start all over and fill out the new form?,fru,fru
Do you know how long it's gonna take me to start all over and fill out the new form?,You can waist as much as you want,fru,fru
Yeah.  I know it's gonna take a minute.  But you-- so you might as well get started now.,Might as well get started now? but Just take this one.,neu,fru
Might as well get started now? but Just take this one.,"I can't take this one, sir. this is the wrong form.",fru,fru
"I can't take this one, sir. this is the wrong form.",Why can't we just -- you know what?  How about if we just pretend that I'm getting a -- renewing my California I.D. and we just don't tell anybody -- That I'm getting a new one from a different state?,fru,fru
Why can't we just -- you know what?  How about if we just pretend that I'm getting a -- renewing my California I.D. and we just don't tell anybody -- That I'm getting a new one from a different state?,"Sir, please don't waste my time.",fru,fru
There is nothing I can do about it.  You need to take this other form and fill it out and go stand in the other line.,"Come on!  You know -- you can't just take -- make a little exception to the rule?  I know that you guys make exceptions.  I see -- you know, if I was-if I was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?",fru,fru
"Come on!  You know -- you can't just take -- make a little exception to the rule?  I know that you guys make exceptions.  I see -- you know, if I was-if I was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?","They're different forms, we process them all different-",fru,fru
"They're different forms, we process them all different-","Wouldn't you? Oh, come on.  you just tell me.  You would make an exception for me.",fru,ang
"Wouldn't you? Oh, come on.  you just tell me.  You would make an exception for me.",I -- there's no way I'd make an exception.,ang,fru
"Sir, don't patronize me.  I can't make an exception.  I don't- I don't have the power to do that.  It's a different form.",Shh...I know you've got the power to do that.,fru,fru
Shh...I know you've got the power to do that.,They're processed differently.,fru,fru
They're processed differently.,That's crap- You're crap.  I don't buy it.,fru,fru
That's crap- You're crap.  I don't buy it.,"Sir, you're gonna have to go stand in the other line.",fru,fru
"Sir, you're gonna have to go stand in the other line.",I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.,fru,fru
I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.,I'm gonna- I'm gonna bring security over and have them escort you out.,fru,ang
I'm gonna- I'm gonna bring security over and have them escort you out.,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.",ang,fru
That's just dumb.,But you filled out the wrong form and you're in the wrong line and you're wasting both of our times.,fru,fru
But you filled out the wrong form and you're in the wrong line and you're wasting both of our times.,I filled out the wrong form because they made me fill out the wrong form!,fru,fru
I filled out the wrong form because they made me fill out the wrong form!,"Well, that's unfortunate, sir.  You're gonna have to go stand in the other line now.",fru,ang
"Well, that's unfortunate, sir.  You're gonna have to go stand in the other line now.","This is crap.  You know, I don't even know why I'm in this state.  Screw California.  I'm out of here.",ang,fru
What is it?,"Sweetheart, I've got to tell you something.  I just got a call.  I'm going to Iraq.",xxx,sad
"Sweetheart, I've got to tell you something.  I just got a call.  I'm going to Iraq.",What?,sad,sur
What?,"I know it's really crappy timing, but I don't have a choice.",sur,sad
"I know it's really crappy timing, but I don't have a choice.","What?  No, you can't!",sad,fea
I know. I have to go-,You didn't- Did you tell them you have two young children at home?,xxx,fea
"I don't have a choice.  I have to go.  If I don't go, they'll come and take me.","No, we have- There's got to be something you can do.  You can't go.",sad,fru
"No, we have- There's got to be something you can do.  You can't go.",I've tried everything.  I've called everyone I know.  I've tried everything. No one can do anything for me or they won't do anything for me.,fru,fru
At least a year.,What?,xxx,sur
What?,I know.,sur,sad
"tell them about me and show them pictures of me and everything like that, because they are not going to see me for such a long time.  And it's such an important time and I just don't want to miss it.",There's got to be something we can do.  You can't just go.,sad,fru
There's got to be something we can do.  You can't just go.,I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?,fru,sad
I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?,Why don't we do that- Can we- Can we just leave the country?,sad,fru
They'll find me anyway.  You know they will.,What would be the worst that would happen if they found you somewhere else?,xxx,neu
What would be the worst that would happen if they found you somewhere else?,"They'd put me in jail and then how long- when will I get to see the kids?  What, ten years?  I don't know.",neu,fru
"They'd put me in jail and then how long- when will I get to see the kids?  What, ten years?  I don't know.","Well, they're so young.",fru,sad
"Well, they're so young.",I know.  But I'll-I'll send the pictures all the time and I'll write them emails and you can read them the emails that I send them.,sad,sad
Where are you gonna be stationed?  What are you gonna be doing?,"I'm gonna be in Bagdad, just doing security.",xxx,sad
"I'm gonna be in Bagdad, just doing security.","Are you gonna be like in tanks running around?  What- I mean, what does that mean?",sad,fea
"Yeah, it's gonna be everything.  I'm gonna be in the front.  I'll be -- it's not gonna be safe.","Oh, my God.",xxx,fea
"Oh, my God.",I just want to be honest with you.  I don't want you to .,fea,sad
"but, it's gonna be fine.  I'm gonna be fine.  You know I'm good at this.  I can do this.  That's why I trained all this time.  I'm good at this.  Okay?",But so many people have died.,sad,fea
But so many people have died.,"I know.  I know.  I know.  But, you know what?  That doesn't mean it's gonna be me; does it?",fea,sad
"I know.  I know.  I know I know. You're good You're good at what you do, but there's just so much chance involved.",No.  It doesn't.  And you can't think like that.,xxx,sad
No.  It doesn't.  And you can't think like that.,"I mean, I-I know that you're a good soldier, but not everybody else is. and what if",sad,fea
"I mean, I-I know that you're a good soldier, but not everybody else is. and what if",I don't want you to -- I know.  I know. You can't worry about me.  You've got to worry about the kids.  And you've got to take care of the kids for me.  Okay?  Take care of the kids for me; all right?,fea,sad
"And you know my mom's here.  She'll come over and she'll be with you all the time, whenever you need her.",It's just so much.,xxx,sad
It's just so much.,"I'll miss you, baby.",sad,sad
"I'll miss you, baby.",[GARBAGE] You have to write me everyday.,sad,sad
[GARBAGE] You have to write me everyday.,"All- I'll write you everyday, all the time.  And I'll send you pictures and you send me pictures. I know We've got email out there.  We've got email and I can see stuff and you can send me stuff all the time.  Okay?",sad,sad
"Can I send you, like videos and stuff? What about when they start walking.",yeah yeah yeah.,xxx,sad
"If I don't get to see it now, I get to see it later at least, you know?  You've got to keep it all for me; all right?",okay.,xxx,sad
I love you.  Okay?,[GARBAGE],xxx,sad
Guess what?,what?,hap,neu
what?,"I did it, I asked her to marry me.",neu,hap
"I did it, I asked her to marry me.",What? you did?,hap,sur
What? you did?,"Yes, I did it.",sur,hap
"Yes, I did it.",When?,hap,hap
When?,"Oh my god, it was just last weekend.",hap,hap
"Oh my god, it was just last weekend.","Oh, what, how- where how did you do it?",hap,hap
"Oh, what, how- where how did you do it?","She--,well, she said yes, first of all, let me say that right off the bat. Well, I would like to assume, too.  But you never know these things, right?",hap,hap
"She--,well, she said yes, first of all, let me say that right off the bat. Well, I would like to assume, too.  But you never know these things, right?",Okay good. I I assumed.,hap,hap
"Um-, but no- It was It was great.  It was really great.  I think she was really surprised and she was really happy. um-",oh-,xxx,hap
oh-,"I did it up at Yosemite.  We went camping right like we usually do.  You know we go camping up there all the time.  But, um- the waterfalls had died down a little bit, you know. And so uh- we-I had her climb up.",hap,hap
"You know- we did some- you know some rock climbing up the waterfalls and went up to this little pool that was up there.  And then, I- it's great. Um- You have to climb this little rock-",uh-huh,hap,neu
uh-huh,"and you can climb it and it's covered in algae you know. So, I wanted her to climb it to go take a picture, like, back in this little waterfall area, and she got back there and she took her picture. And then, I had her come back.  And I was going to do the same thing.",neu,hap
"And she's like- she feels it you know and she doesn't know what it is.  And she you know helps me get out and I won't let go of her hand.  And she's like, what are you doing?  I and said, You saved my life, now will you marry me?","Oh, my God.  That's so dramatic.",hap,hap
"Oh, my God.  That's so dramatic.",Wasn't that great? I didn't want it to be too hokey.but- but- She liked it.She liked it.,hap,hap
Wasn't that great? I didn't want it to be too hokey.but- but- She liked it.She liked it.,so cute.,hap,hap
oh.,"Yeah.  And she said yes.  And she cried, of course.",hap,hap
"Yeah.  And she said yes.  And she cried, of course.","Oh, Then you had a whole weekend of camping?",hap,hap
"Oh, Then you had a whole weekend of camping?","Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah.",hap,hap
"Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah.","Oh, right. sure [LAUGHTER]",hap,hap
"Oh, right. sure [LAUGHTER]",It was a lot of fun- It was a lot of fun.  She's great.  And I'm so happy.,hap,hap
It was a lot of fun- It was a lot of fun.  She's great.  And I'm so happy.,So where are you going to have your wedding?,hap,hap
So where are you going to have your wedding?,"We're going to do it back in the Midwest where her family all is.  They're all out there. you know so, Um  And so, just gonna have a small, small wedding. But, um- you know, of course, you're going to come, right?",hap,hap
"We're going to do it back in the Midwest where her family all is.  They're all out there. you know so, Um  And so, just gonna have a small, small wedding. But, um- you know, of course, you're going to come, right?",Yeah. of course.,hap,hap
